date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:02	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0bd98c.9e09621c.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0bd98c.9e09621c.html	(from http://120.26.82.151:8082/)
13:57:03	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0bd9e4.d066f474.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0bd9e4.d066f474.html	(from http://120.26.82.151:8082/)
13:57:03	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0bfee4.e3000068.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0bfee4.e3000068.html	(from http://120.26.82.151:8082/)
13:57:03	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0c267b.984b68fa.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0c267b.984b68fa.html	(from http://120.26.82.151:8082/)
13:57:03	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0c42f4.19950d3e.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0c42f4.19950d3e.html	(from http://120.26.82.151:8082/)
13:57:04	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0c4c62.76761d4a.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0c4c62.76761d4a.html	(from http://120.26.82.151:8082/)
13:57:04	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0c514f.40404e7c.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0c514f.40404e7c.html	(from http://120.26.82.151:8082/)
13:57:04	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0c89b9.bdea0062.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0c89b9.bdea0062.html	(from http://120.26.82.151:8082/)
13:57:04	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0c8d68.b5462891.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0c8d68.b5462891.html	(from http://120.26.82.151:8082/)
13:57:04	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0c9b18.1d220015.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0c9b18.1d220015.html	(from http://120.26.82.151:8082/)
